Sire_ID,Sire_Breed,No_Of_Calves,Avg_Adj_205_Wt,Avg_Birth_Wt,Avg_Calving_Ease,Avg_Act_Wean_Wt,sum_age_in_days,Avg_Age_In_Days,Avg_Frame_Score,Avg_ADG,Avg_WDA
20425,AR,5,513.86000,79.8,1.0000,440.8,865,173.0000,3.8200000286102296,2.06000,2.52000
20429,LM,6,604.68333,74.83333333333333,1.0000,501.8333333333333,1046,174.3333,3.7000000278155007,2.43333,2.85000
20430,LO,1,523.00000,60,1.0000,424,187,182.0000,3.5999999046325684,2.00000,2.30000
20437,AR,9,504.01111,66.33333333333333,1.0000,454.3333333333333,1661,184.5556,3.7000000211927624,2.10000,2.43333
20447,AR,11,555.80000,84.81818181818181,1.0000,478.90909090909093,1896,172.3636,4.718181826851585,2.30000,2.79091
20473,AR,6,544.50000,84.33333333333333,1.0000,489.3333333333333,1091,181.8333,4.6833332777023315,2.23333,2.71667
