chaps_id,birth_date,breed,reg_no,reg_name,elec_id,sire_id,dam_id,sex,sex_date,birth_weight,calving_ease,state,herd_id,cow_age
81,0000-00-00,AN,,,,20175,0,2,0000-00-00,70,0,,H38,2
82,0000-00-00,LM,,,,20429,0,2,0000-00-00,92,0,,H38,2
83,0000-00-00,AN,,,,20175,0,2,0000-00-00,80,0,,H38,2
84,0000-00-00,AN,,,,20175,0,2,0000-00-00,70,0,,H38,2
85,0000-00-00,AN,,,,20175,0,2,0000-00-00,72,0,,H38,2
86,0000-00-00,AN,,,,20175,0,2,0000-00-00,82,0,,H38,2
87,0000-00-00,AN,,,,20172,0,2,0000-00-00,68,0,,H38,2
88,0000-00-00,AN,,,,20168,0,2,0000-00-00,84,0,,H38,9
89,0000-00-00,AN,,,,20172,0,2,0000-00-00,74,0,,H38,2
90,0000-00-00,AN,,,,20168,0,2,0000-00-00,98,0,,H38,9
91,0000-00-00,CH,,,,20157,0,2,0000-00-00,74,0,,H38,12
92,0000-00-00,CH,,,,20157,0,2,0000-00-00,72,0,,H38,7
93,0000-00-00,CH,,,,20131,0,2,0000-00-00,66,0,,H38,10
94,0000-00-00,CH,,,,20426,0,2,0000-00-00,82,0,,H38,15
95,0000-00-00,CH,,,,20170,0,2,0000-00-00,78,0,,H38,11
96,0000-00-00,AN,,,,20168,0,2,0000-00-00,96,0,,H38,9
97,0000-00-00,CH,,,,20150,0,2,0000-00-00,76,0,,H38,9
98,0000-00-00,CH,,,,20162,0,2,0000-00-00,96,0,,H38,7
99,0000-00-00,CH,,,,20157,0,2,0000-00-00,66,0,,H38,9
100,0000-00-00,CH,,,,20150,0,2,0000-00-00,90,0,,H38,7
101,0000-00-00,CH,,,,20000,0,2,0000-00-00,86,0,,H38,8
102,0000-00-00,CH,,,,20152,0,2,0000-00-00,84,0,,H38,9
103,0000-00-00,CH,,,,20131,0,2,0000-00-00,94,0,,H38,7
104,0000-00-00,CH,,,,20131,0,2,0000-00-00,94,0,,H38,10
105,0000-00-00,CH,,,,20169,0,2,0000-00-00,72,0,,H38,10
106,0000-00-00,CH,,,,20170,0,2,0000-00-00,96,0,,H38,8
107,0000-00-00,CH,,,,20165,0,2,0000-00-00,76,0,,H38,9
108,0000-00-00,CH,,,,20000,0,2,0000-00-00,72,0,,H38,9
109,0000-00-00,CH,,,,20131,0,2,0000-00-00,74,0,,H38,4
110,0000-00-00,CH,,,,20131,0,2,0000-00-00,90,0,,H38,9
111,0000-00-00,CH,,,,20165,0,2,0000-00-00,96,0,,H38,9
112,0000-00-00,CH,,,,20155,0,2,0000-00-00,86,0,,H38,10
113,0000-00-00,CH,,,,20131,0,2,0000-00-00,128,0,,H38,10
114,0000-00-00,CH,,,,20170,0,2,0000-00-00,85,0,,H38,7
115,0000-00-00,CH,,,,20155,0,2,0000-00-00,93,0,,H38,8
116,0000-00-00,CH,,,,20131,0,2,0000-00-00,89,0,,H38,14
117,0000-00-00,CH,,,,20169,0,2,0000-00-00,85,0,,H38,11
118,0000-00-00,CH,,,,20104,0,2,0000-00-00,86,0,,H38,10
119,0000-00-00,CH,,,,20157,0,2,0000-00-00,88,0,,H38,7
120,0000-00-00,CH,,,,20131,0,2,0000-00-00,85,0,,H38,5
121,0000-00-00,CH,,,,20157,0,2,0000-00-00,95,0,,H38,7
122,0000-00-00,CH,,,,20426,0,2,0000-00-00,88,0,,H38,13
123,0000-00-00,AN,,,,20173,0,2,0000-00-00,80,0,,H38,2
124,0000-00-00,CH,,,,20131,0,2,0000-00-00,72,0,,H38,10
125,0000-00-00,CH,,,,20165,0,2,0000-00-00,92,0,,H38,12
126,0000-00-00,CH,,,,20157,0,2,0000-00-00,68,0,,H38,7
127,0000-00-00,CH,,,,20170,0,2,0000-00-00,89,0,,H38,10
128,0000-00-00,CH,,,,20170,0,2,0000-00-00,79,0,,H38,8
129,0000-00-00,CH,,,,20114,0,2,0000-00-00,92,0,,H38,6
130,0000-00-00,AN,,,,20173,0,2,0000-00-00,70,0,,H38,2
131,0000-00-00,CH,,,,20162,0,2,0000-00-00,80,0,,H38,3
132,0000-00-00,CH,,,,20170,0,2,0000-00-00,88,0,,H38,14
133,0000-00-00,CH,,,,20152,0,2,0000-00-00,76,0,,H38,7
134,0000-00-00,CH,,,,20114,0,2,0000-00-00,96,0,,H38,4
135,0000-00-00,CH,,,,20155,0,2,0000-00-00,80,0,,H38,12
136,0000-00-00,CH,,,,20131,0,2,0000-00-00,68,0,,H38,13
137,0000-00-00,CH,,,,20131,0,2,0000-00-00,85,0,,H38,9
138,0000-00-00,CH,,,,20157,0,2,0000-00-00,95,0,,H38,7
139,0000-00-00,CH,,,,20169,0,2,0000-00-00,90,0,,H38,7
140,0000-00-00,CH,,,,20162,0,2,0000-00-00,84,0,,H38,3
141,0000-00-00,CH,,,,20162,0,2,0000-00-00,80,0,,H38,3
142,0000-00-00,CH,,,,20150,0,2,0000-00-00,82,0,,H38,5
143,0000-00-00,CH,,,,20169,0,2,0000-00-00,95,0,,H38,7
144,0000-00-00,CH,,,,20162,0,2,0000-00-00,98,0,,H38,12
145,0000-00-00,CH,,,,20152,0,2,0000-00-00,66,0,,H38,7
