chaps_id,start_date,exit_date,herd_id,producer_id,entry_code,exit_code
122,1993-03-22,NULL,H38,0,NULL,NULL
123,1993-03-19,NULL,H38,0,NULL,NULL
124,1993-03-24,NULL,H38,0,NULL,NULL
125,1993-03-25,NULL,H38,0,NULL,NULL
126,1993-03-25,NULL,H38,0,NULL,NULL
127,1993-03-26,NULL,H38,0,NULL,NULL
128,1993-03-26,NULL,H38,0,NULL,NULL
129,1993-03-26,NULL,H38,0,NULL,NULL
130,1993-03-23,NULL,H38,0,NULL,NULL
131,1993-03-26,NULL,H38,0,NULL,NULL
132,1993-03-27,NULL,H38,0,NULL,NULL
133,1993-03-27,NULL,H38,0,NULL,NULL
134,1993-03-27,NULL,H38,0,NULL,NULL
135,1993-03-28,NULL,H38,0,NULL,NULL
136,1993-03-27,NULL,H38,0,NULL,NULL
137,1993-03-28,NULL,H38,0,NULL,NULL
138,1993-03-28,NULL,H38,0,NULL,NULL
139,1993-03-29,NULL,H38,0,NULL,NULL
140,1993-03-29,NULL,H38,0,NULL,NULL
141,1993-03-30,NULL,H38,0,NULL,NULL
142,1993-03-30,NULL,H38,0,NULL,NULL
143,1993-03-30,NULL,H38,0,NULL,NULL
144,1993-03-30,NULL,H38,0,NULL,NULL
145,1993-03-31,NULL,H38,0,NULL,NULL
146,1993-03-31,NULL,H38,0,NULL,NULL
147,1993-03-30,NULL,H38,0,NULL,NULL
148,1993-04-01,NULL,H38,0,NULL,NULL
149,1993-04-01,NULL,H38,0,NULL,NULL
150,1993-04-02,NULL,H38,0,NULL,NULL
151,1993-04-02,NULL,H38,0,NULL,NULL
152,1993-04-01,NULL,H38,0,NULL,NULL
153,1993-04-02,NULL,H38,0,NULL,NULL
154,1993-03-31,NULL,H38,0,NULL,NULL
155,1993-04-02,NULL,H38,0,NULL,NULL
156,1993-04-06,NULL,H38,0,NULL,NULL
157,1993-04-03,NULL,H38,0,NULL,NULL
158,1993-04-03,NULL,H38,0,NULL,NULL
159,1993-04-03,NULL,H38,0,NULL,NULL
160,1993-04-03,NULL,H38,0,NULL,NULL
161,1993-04-05,NULL,H38,0,NULL,NULL
162,1993-04-06,NULL,H38,0,NULL,NULL
163,1993-04-06,NULL,H38,0,NULL,NULL
164,1993-04-06,NULL,H38,0,NULL,NULL
165,1993-04-07,NULL,H38,0,NULL,NULL
166,1993-04-07,NULL,H38,0,NULL,NULL
167,1993-04-16,NULL,H38,0,NULL,NULL
168,1993-04-07,NULL,H38,0,NULL,NULL
169,1993-04-07,NULL,H38,0,NULL,NULL
170,1993-04-08,NULL,H38,0,NULL,NULL
171,1993-04-08,NULL,H38,0,NULL,NULL
172,1993-04-08,NULL,H38,0,NULL,NULL
173,1993-04-08,NULL,H38,0,NULL,NULL
174,1993-04-09,NULL,H38,0,NULL,NULL
175,1993-04-11,NULL,H38,0,NULL,NULL
176,1993-04-11,NULL,H38,0,NULL,NULL
177,1993-04-12,NULL,H38,0,NULL,NULL
178,1993-04-15,NULL,H38,0,NULL,NULL
179,1993-04-16,NULL,H38,0,NULL,NULL
180,1993-04-18,NULL,H38,0,NULL,NULL
181,1993-04-18,NULL,H38,0,NULL,NULL
182,1993-04-18,NULL,H38,0,NULL,NULL
183,1993-04-20,NULL,H38,0,NULL,NULL
184,1993-04-21,NULL,H38,0,NULL,NULL
185,1993-04-22,NULL,H38,0,NULL,NULL
186,1993-04-22,NULL,H38,0,NULL,NULL
187,1993-04-23,NULL,H38,0,NULL,NULL
188,1993-04-24,NULL,H38,0,NULL,NULL
189,1993-04-28,NULL,H38,0,NULL,NULL
190,1993-04-29,NULL,H38,0,NULL,NULL
191,1993-05-03,NULL,H38,0,NULL,NULL
192,1993-05-03,NULL,H38,0,NULL,NULL
193,1993-05-14,NULL,H38,0,NULL,NULL
194,1993-05-17,NULL,H38,0,NULL,NULL
195,2013-04-28,NULL,H38,0,NULL,NULL
196,2013-04-29,NULL,H38,0,NULL,NULL
197,2013-04-30,NULL,H38,0,NULL,NULL
198,2013-05-01,NULL,H38,0,NULL,NULL
199,2013-05-03,NULL,H38,0,NULL,NULL
200,2013-05-03,NULL,H38,0,NULL,NULL
201,2013-05-05,NULL,H38,0,NULL,NULL
202,2013-05-05,NULL,H38,0,NULL,NULL
203,2013-05-06,NULL,H38,0,NULL,NULL
204,2013-05-08,NULL,H38,0,NULL,NULL
205,2013-05-08,NULL,H38,0,NULL,NULL
206,2013-05-08,NULL,H38,0,NULL,NULL
207,2013-05-09,NULL,H38,0,NULL,NULL
208,2013-05-08,NULL,H38,0,NULL,NULL
209,2013-05-08,NULL,H38,0,NULL,NULL
210,2013-05-10,NULL,H38,0,NULL,NULL
211,2013-05-10,NULL,H38,0,NULL,NULL
212,2013-05-11,NULL,H38,0,NULL,NULL
213,2013-05-11,NULL,H38,0,NULL,NULL
214,2013-05-12,NULL,H38,0,NULL,NULL
215,2013-05-12,NULL,H38,0,NULL,NULL
216,2013-05-14,NULL,H38,0,NULL,NULL
217,2013-05-15,NULL,H38,0,NULL,NULL
218,2013-05-15,NULL,H38,0,NULL,NULL
219,2013-05-15,NULL,H38,0,NULL,NULL
220,2013-05-16,NULL,H38,0,NULL,NULL
221,2013-05-16,NULL,H38,0,NULL,NULL
222,2013-05-16,NULL,H38,0,NULL,NULL
223,2013-05-17,NULL,H38,0,NULL,NULL
224,2013-05-17,NULL,H38,0,NULL,NULL
225,2013-05-18,NULL,H38,0,NULL,NULL
226,2013-05-18,NULL,H38,0,NULL,NULL
227,2013-05-18,NULL,H38,0,NULL,NULL
228,2013-05-18,NULL,H38,0,NULL,NULL
229,2013-05-19,NULL,H38,0,NULL,NULL
230,2013-05-19,NULL,H38,0,NULL,NULL
231,2013-05-19,NULL,H38,0,NULL,NULL
232,2013-05-19,NULL,H38,0,NULL,NULL
233,2013-05-19,NULL,H38,0,NULL,NULL
234,2013-05-19,NULL,H38,0,NULL,NULL
235,2013-05-19,NULL,H38,0,NULL,NULL
236,2013-05-19,NULL,H38,0,NULL,NULL
237,2013-05-20,NULL,H38,0,NULL,NULL
238,2013-05-20,NULL,H38,0,NULL,NULL
239,2013-05-20,NULL,H38,0,NULL,NULL
240,2013-05-20,NULL,H38,0,NULL,NULL
241,2013-05-20,NULL,H38,0,NULL,NULL
242,2013-05-21,NULL,H38,0,NULL,NULL
243,2013-05-21,NULL,H38,0,NULL,NULL
244,2013-05-21,NULL,H38,0,NULL,NULL
245,2013-05-21,NULL,H38,0,NULL,NULL
246,2013-05-21,NULL,H38,0,NULL,NULL
247,2013-05-21,NULL,H38,0,NULL,NULL
248,2013-05-21,NULL,H38,0,NULL,NULL
249,2013-05-22,NULL,H38,0,NULL,NULL
250,2013-05-23,NULL,H38,0,NULL,NULL
251,2013-05-24,NULL,H38,0,NULL,NULL
252,2013-05-24,NULL,H38,0,NULL,NULL
253,2013-05-24,NULL,H38,0,NULL,NULL
254,2013-05-24,NULL,H38,0,NULL,NULL
255,2013-05-25,NULL,H38,0,NULL,NULL
256,2013-05-25,NULL,H38,0,NULL,NULL
257,2013-05-25,NULL,H38,0,NULL,NULL
258,2013-05-25,NULL,H38,0,NULL,NULL
259,2013-05-25,NULL,H38,0,NULL,NULL
260,2013-05-26,NULL,H38,0,NULL,NULL
261,2013-05-26,NULL,H38,0,NULL,NULL
262,2013-05-27,NULL,H38,0,NULL,NULL
263,2013-05-29,NULL,H38,0,NULL,NULL
264,2013-05-29,NULL,H38,0,NULL,NULL
265,2013-05-29,NULL,H38,0,NULL,NULL
266,2013-05-29,NULL,H38,0,NULL,NULL
267,2013-05-29,NULL,H38,0,NULL,NULL
268,2013-05-30,NULL,H38,0,NULL,NULL
269,2013-05-30,NULL,H38,0,NULL,NULL
270,2013-06-02,NULL,H38,0,NULL,NULL
271,2013-06-03,NULL,H38,0,NULL,NULL
272,2013-06-03,NULL,H38,0,NULL,NULL
273,2013-06-03,NULL,H38,0,NULL,NULL
274,2013-06-03,NULL,H38,0,NULL,NULL
275,2013-06-07,NULL,H38,0,NULL,NULL
276,2013-06-06,NULL,H38,0,NULL,NULL
277,2013-06-07,NULL,H38,0,NULL,NULL
278,2013-06-09,NULL,H38,0,NULL,NULL
279,2013-05-03,NULL,H38,0,NULL,NULL
280,2013-06-06,NULL,H38,0,NULL,NULL
281,2014-04-27,NULL,H38,0,NULL,NULL
282,2014-04-28,NULL,H38,0,NULL,NULL
283,2014-04-30,NULL,H38,0,NULL,NULL
284,2014-05-01,NULL,H38,0,NULL,NULL
285,2014-05-01,NULL,H38,0,NULL,NULL
286,2014-05-04,NULL,H38,0,NULL,NULL
287,2014-05-05,NULL,H38,0,NULL,NULL
288,2014-05-06,NULL,H38,0,NULL,NULL
289,2014-05-06,NULL,H38,0,NULL,NULL
290,2014-05-06,NULL,H38,0,NULL,NULL
291,2014-05-07,NULL,H38,0,NULL,NULL
292,2014-05-07,NULL,H38,0,NULL,NULL
293,2014-05-07,NULL,H38,0,NULL,NULL
294,2014-05-09,NULL,H38,0,NULL,NULL
295,2014-05-09,NULL,H38,0,NULL,NULL
296,2014-05-09,NULL,H38,0,NULL,NULL
