Calf_ID,Birth_Date,Birth_weight,Calving_Ease,Act_Wean_Weight,Age_in_Days,adj_wt_205,ad_wt_205_count,Frame_Score,Cow_ID,Cow_Breed,Cow_Age,Sire_ID
354,2014-06-12,95,1,506,154,642.1103896,1,4.9,0,ARARLOAN,6,0
355,2014-06-15,77,1,363,151,503.4900662,1,3,0,ARLOARAN,3,0
356,2014-06-15,66,1,315,151,460.1711921,1,3.4,0,ARLOANHH,3,0
357,2014-06-16,63,1,0,128,0,0,-15.4,0,LOLOSHAR,2,0
358,2014-06-16,97,1,510,150,661.4333333,1,5.5,0,ARARLOAN,5,0
359,2014-06-17,75,1,395,149,553.3892617,1,3.6,0,ARLOARAN,3,0
360,2014-06-23,78,1,367,143,516.9157343,1,4,0,ARLOANHH,8,0
361,2014-04-02,30,1,0,2,0,0,0,0,ARLOAN,4,0
362,2014-04-28,62,1,0,0,0,0,0,0,ARLOANAN,8,0
363,2014-05-25,99,1,0,0,0,0,0,0,ARLOARHH,4,0
