88,1993-03-06,AN,,,,20168,0,2,,84,,,H38,9
89,1993-03-07,AN,,,,20172,0,2,,74,,,H38,2
90,1993-03-07,AN,,,,20168,0,2,,98,,,H38,9
91,1993-03-10,CH,,,,20157,0,2,,74,,,H38,12
92,1993-03-10,CH,,,,20157,0,2,,72,,,H38,7
93,1993-03-11,CH,,,,20131,0,2,,66,,,H38,10
94,1993-03-11,CH,,,,20426,0,2,,82,,,H38,15
95,1993-03-11,CH,,,,20170,0,2,,78,,,H38,11
96,1993-03-12,AN,,,,20168,0,2,,96,,,H38,9
97,1993-03-12,CH,,,,20150,0,2,,76,,,H38,9
98,1993-03-14,CH,,,,20162,0,2,,96,,,H38,7
99,1993-03-14,CH,,,,20157,0,2,,66,,,H38,9
100,1993-03-14,CH,,,,20150,0,2,,90,,,H38,7
101,1993-03-14,CH,,,,20000,0,2,,86,,,H38,8
102,1993-03-15,CH,,,,20152,0,2,,84,,,H38,9
103,1993-03-16,CH,,,,20131,0,2,,94,,,H38,7
104,1993-03-16,CH,,,,20131,0,2,,94,,,H38,10
105,1993-03-16,CH,,,,20169,0,2,,72,,,H38,10
106,1993-03-17,CH,,,,20170,0,2,,96,,,H38,8
107,1993-03-17,CH,,,,20165,0,2,,76,,,H38,9
108,1993-03-18,CH,,,,20000,0,2,,72,,,H38,9
109,1993-03-17,CH,,,,20131,0,2,,74,,,H38,4
110,1993-03-18,CH,,,,20131,0,2,,90,,,H38,9
111,1993-03-18,CH,,,,20165,0,2,,96,,,H38,9
112,1993-03-18,CH,,,,20155,0,2,,86,,,H38,10
113,1993-03-18,CH,,,,20131,0,2,,128,,,H38,10
114,1993-03-19,CH,,,,20170,0,2,,85,,,H38,7
115,1993-03-20,CH,,,,20155,0,2,,93,,,H38,8
116,1993-03-19,CH,,,,20131,0,2,,89,,,H38,14
117,1993-03-20,CH,,,,20169,0,2,,85,,,H38,11
118,1993-03-21,CH,,,,20104,0,2,,86,,,H38,10
119,1993-03-21,CH,,,,20157,0,2,,88,,,H38,7
120,1993-03-21,CH,,,,20131,0,2,,85,,,H38,5
121,1993-03-22,CH,,,,20157,0,2,,95,,,H38,7
122,1993-03-22,CH,,,,20426,0,2,,88,,,H38,13
123,1993-03-19,AN,,,,20173,0,2,,80,,,H38,2
124,1993-03-24,CH,,,,20131,0,2,,72,,,H38,10
125,1993-03-25,CH,,,,20165,0,2,,92,,,H38,12
126,1993-03-25,CH,,,,20157,0,2,,68,,,H38,7
127,1993-03-26,CH,,,,20170,0,2,,89,,,H38,10
128,1993-03-26,CH,,,,20170,0,2,,79,,,H38,8
129,1993-03-26,CH,,,,20114,0,2,,92,,,H38,6
130,1993-03-23,AN,,,,20173,0,2,,70,,,H38,2
131,1993-03-26,CH,,,,20162,0,2,,80,,,H38,3
132,1993-03-27,CH,,,,20170,0,2,,88,,,H38,14
133,1993-03-27,CH,,,,20152,0,2,,76,,,H38,7
134,1993-03-27,CH,,,,20114,0,2,,96,,,H38,4
135,1993-03-28,CH,,,,20155,0,2,,80,,,H38,12
136,1993-03-27,CH,,,,20131,0,2,,68,,,H38,13
137,1993-03-28,CH,,,,20131,0,2,,85,,,H38,9
138,1993-03-28,CH,,,,20157,0,2,,95,,,H38,7
139,1993-03-29,CH,,,,20169,0,2,,90,,,H38,7
140,1993-03-29,CH,,,,20162,0,2,,84,,,H38,3
141,1993-03-30,CH,,,,20162,0,2,,80,,,H38,3
142,1993-03-30,CH,,,,20150,0,2,,82,,,H38,5
143,1993-03-30,CH,,,,20169,0,2,,95,,,H38,7
144,1993-03-30,CH,,,,20162,0,2,,98,,,H38,12
145,1993-03-31,CH,,,,20152,0,2,,66,,,H38,7
146,1993-03-31,CH,,,,20169,0,2,,92,,,H38,10
147,1993-03-30,CH,,,,20170,0,2,,60,,,H38,8
148,1993-04-01,CH,,,,20162,0,2,,100,,,H38,11
149,1993-04-01,CH,,,,20000,0,2,,80,,,H38,7
150,1993-04-02,CH,,,,20157,0,2,,78,,,H38,11
151,1993-04-02,CH,,,,20169,0,2,,90,,,H38,5
152,1993-04-01,CH,,,,20155,0,2,,108,,,H38,9
153,1993-04-02,CH,,,,20170,0,2,,80,,,H38,12
154,1993-03-31,CH,,,,20162,0,2,,92,,,H38,3
155,1993-04-02,CH,,,,20162,0,2,,100,,,H38,4
156,1993-04-06,CH,,,,20162,0,2,,72,,,H38,3
157,1993-04-03,CH,,,,20157,0,2,,80,,,H38,8
158,1993-04-03,CH,,,,20104,0,2,,100,,,H38,8
159,1993-04-03,CH,,,,20157,0,2,,70,,,H38,12
160,1993-04-03,CH,,,,20157,0,2,,95,,,H38,7
161,1993-04-05,CH,,,,20131,0,2,,82,,,H38,8
162,1993-04-06,CH,,,,20131,0,2,,88,,,H38,10
163,1993-04-06,CH,,,,20165,0,2,,88,,,H38,7
164,1993-04-06,CH,,,,20155,0,2,,82,,,H38,4
165,1993-04-07,CH,,,,20131,0,2,,80,,,H38,8
166,1993-04-07,CH,,,,20169,0,2,,91,,,H38,12
167,1993-04-16,CH,,,,20162,0,2,,82,,,H38,10
168,1993-04-07,CH,,,,20170,0,2,,90,,,H38,9
169,1993-04-07,CH,,,,20150,0,2,,76,,,H38,7
170,1993-04-08,CH,,,,20165,0,2,,84,,,H38,8
171,1993-04-08,CH,,,,20157,0,2,,94,,,H38,8
172,1993-04-08,CH,,,,20169,0,2,,70,,,H38,7
173,1993-04-08,CH,,,,20150,0,2,,110,,,H38,7
174,1993-04-09,CH,,,,20165,0,2,,72,,,H38,4
175,1993-04-11,CH,,,,20152,0,2,,78,,,H38,12
176,1993-04-11,CH,,,,20157,0,2,,81,,,H38,7
177,1993-04-12,CH,,,,20131,0,2,,99,,,H38,7
178,1993-04-15,CH,,,,20152,0,2,,90,,,H38,4
179,1993-04-16,CH,,,,20169,0,2,,82,,,H38,11
180,1993-04-18,CH,,,,20131,0,2,,91,,,H38,9
181,1993-04-18,CH,,,,20162,0,2,,88,,,H38,3
182,1993-04-18,CH,,,,20162,0,2,,98,,,H38,9
183,1993-04-20,CH,,,,20165,0,2,,90,,,H38,10
184,1993-04-21,CH,,,,20104,0,2,,94,,,H38,8
185,1993-04-22,CH,,,,20114,0,2,,82,,,H38,8
186,1993-04-22,CH,,,,20155,0,2,,79,,,H38,8
187,1993-04-23,CH,,,,20131,0,2,,100,,,H38,7
188,1993-04-24,CH,,,,20150,0,2,,99,,,H38,7
189,1993-04-28,CH,,,,20114,0,2,,114,,,H38,10
190,1993-04-29,CH,,,,20000,0,2,,112,,,H38,9
191,1993-05-03,CH,,,,20150,0,2,,65,,,H38,7
192,1993-05-03,CH,,,,20170,0,2,,108,,,H38,9
193,1993-05-14,CH,,,,20114,0,2,,69,,,H38,12
194,1993-05-17,CH,,,,20426,0,2,,89,,,H38,4
195,2013-04-28,LO,,,,20430,10210,3,,50,1,,H38,2
196,2013-04-29,LOLOARAN,,,,20430,10198,2,,35,1,,H38,2
197,2013-04-30,LOLOANAN,,,,20430,10208,3,,48,1,,H38,2
198,2013-05-01,LOLOARAN,,,,20430,10203,2,,45,1,,H38,2
199,2013-05-03,ARLOANAN,,,,20437,10184,3,,60,1,,H38,3
200,2013-05-03,ARLOANAN,,,,20437,10196,2,,60,1,,H38,3
201,2013-05-05,LOLOARAN,,,,20430,10197,3,,63,1,,H38,2
202,2013-05-05,ARLOANHH,,,,20435,10142,2,,60,1,,H38,5
203,2013-05-06,ARLOANSM,,,,20437,10185,2,,74,1,,H38,3
204,2013-05-08,ARLOARHH,,,,20471,10056,3,,84,1,,H38,10
205,2013-05-08,LOLOARAN,,,,20430,10204,3,,54,1,,H38,2
206,2013-05-08,LO,,,,20430,10212,2,,45,1,,H38,2
207,2013-05-09,ARLOARAN,,,,20435,10129,3,,75,1,,H38,5
208,2013-05-08,ARLOAN,,,,20435,10088,2,,72,1,,H38,7
209,2013-05-08,ARLOANAN,,,,20435,10157,3,,72,1,,H38,5
210,2013-05-10,ARARLOAN,,,,20435,448,3,,73,1,,H38,4
211,2013-05-10,LOLOARHH,,,,20430,10199,3,,62,1,,H38,2
212,2013-05-11,ARLOHH,,,,20472,467,3,,76,1,,H38,4
213,2013-05-11,ARLOANMX,,,,20437,10183,2,,65,1,,H38,3
214,2013-05-12,ARLOARAN,,,,20435,10134,3,,83,1,,H38,5
215,2013-05-12,ARLOANHH,,,,20435,10104,3,,80,1,,H38,7
216,2013-05-14,ARARLOAN,,,,20447,466,3,,89,1,,H38,4
217,2013-05-15,LOLOANAR,,,,20430,10202,3,,50,1,,H38,2
218,2013-05-15,ARLOANAN,,,,20437,10188,3,,70,1,,H38,3
219,2013-05-15,ARLOANHH,,,,20447,10108,2,,70,1,,H38,7
220,2013-05-16,ARLOANHH,,,,20447,10139,3,,90,1,,H38,5
