10024,1998-04-25,HH,41053020,SR GOLDIE 851,,40036740,19050987,2,,,,,H38
10025,1998-04-13,HH,41053182,DS GOLDIE 843,,40036740,19381968,2,,,,,H38
10026,1998-03-26,HH,41053189,SR WESTY 813,,40036739,19532301,2,,,,,H38
10027,1999-03-13,HH,41131050,SR MARVEL 978,,19408550,40042479,2,,,,,H38
10028,2000-03-12,HH,42078300,SR LORI 016,,41003694,40042587,2,,,,,H38
10029,1999-01-09,HH,42167185,LCI STANDARD LADY 101J,,C2650999,C2621497,2,,,,,H38
10030,,AN,10895323,9J9 G A R 856,,RITO9J9,,2,,,,,H38
10031,1978-04-04,AR,100626,,,PBC373D0,,2,,,,,H38
10032,,AR,87349,,,PBC373,,2,,,,,H38
10033,1981-04-16,AR,130370,,,BFLOCRVC,BFLOCAR,2,,,,,H38
10034,,AN,11246381,B F TRAVELER 7112 9118,,QAS234,,2,,,,,H38
10035,,AN,11264984,B/R ELINE 972,,BR545,,2,,,,,H38
10036,,AN,9890479,BASIN ENCHANTRESS 1051,,HIGHTIME,,2,,,,,H38
10037,1982-05-06,AR,140489,,,RCNDY606,BFCR127,2,,,,,H38
10038,1962-05-06,AR,9319,,,REDCOPPR,,2,,,,,H38
10039,,,,,,LEACHMNA,,2,,,,,H38
10040,,,,,,BLKVBB,,2,,,,,H38
10041,1961-11-04,AR,4396,,,BBASCOMR,,2,,,,,H38
10042,1993-02-15,AR,404379,,,LEACHEVN,,2,,,,,H38
10043,1995-02-12,AR,475841,,,LRH1174B,,2,,,,,H38
10044,1976-04-18,AR,77420,,,THUNDERB,,2,,,,,H38
10045,1985-04-20,AR,183245,,,LCHMR012,LCDU163,2,,,,,H38
10046,1988-01-10,AR,303922,,,JTL90KK,PRFELEN,2,,,,,H38
10047,,,,,,JHLAR,,2,,,,,H38
10048,,AN,10973044,LANDMARCK GAY LADY 774,,KADENCE,,2,,,,,H38
10049,,AN,11291067,M D G ELONEMAR 9144,,PD6106,,2,,,,,H38
10050,1972-03-07,AR,49527,,,RLGALENA,,2,,,,,H38
10051,1971-02-23,AR,41713,,,MADCP605,MDSTRM,2,,,,,H38
10052,1968-03-26,AR,23376,,,STORMALG,,2,,,,,H38
10053,1991-04-01,AR,356162,,,BUFCRK14,MRM8454,2,,,,,H38
10054,,AR,268297,,,MRMPRIME,,2,,,,,H38
10055,2003-03-01,LOHHAN,,,9.82E+14,UNKNLO,L1064,2,,,,,H38
10056,2003-03-06,LOARHHAR,,,9.49E+14,UNKNLO,L1186,2,,,,,H38
10057,2003-04-09,LOANARHH,,,9.82E+14,UNKNLO,L1109,2,,,,,H38
10058,2004-03-16,LOHHAN,,,9.82E+14,UNKNLO,M2154,2,,,,,H38
10059,2004-03-19,LOANGV,,,9.49E+14,UNKNLO,M2346,2,,,,,H38
10060,2004-03-20,LOANANHH,,,9.82E+14,UNKNLO,M2051,2,,,,,H38
10061,2004-03-20,LOAN,,,9.82E+14,UNKNLO,M2023,2,,,,,H38
10062,2004-03-21,LOANHH,,,9.82E+14,UNKNLO,M2160,2,,,,,H38
10063,2004-03-23,LOANAR,,,9.82E+14,UNKNLO,M2088,2,,,,,H38
10064,2004-04-05,LOHHAN,,,9.82E+14,UNKNLO,M2182,2,,,,,H38
10065,,AN,11136428,PAPA BLACKBIRD 8810,,PAPARITO,,2,,,,,H38
