10078,2009-06-18,,,0,0,2009-10-16,1165,6
10078,2010-06-01,2010-08-16,,0,0,2011-10-14,1290,5
10078,2011-08-08,2011-10-14,2011-10-14,1290,5,2012-11-15,1125,5
10078,2012-08-01,2012-10-18,2012-10-18,1125,5,,0,0
10082,2006-06-16,,2007-03-15,548,0,,0,0
10082,2007-06-18,2007-09-19,,0,0,2008-10-30,1040,7
10082,2008-06-10,,,0,0,,0,0
10082,2009-06-18,,,0,0,2009-10-16,1020,6
10082,2010-06-01,2010-08-16,,0,0,2011-11-10,1050,5
10082,2011-08-08,2011-11-10,2011-11-10,1050,5,2012-11-15,1045,6
10082,2012-08-01,2012-10-18,2012-10-18,1035,6,,0,0
372,2006-06-16,,2007-03-15,486,0,,0,0
372,2007-06-18,2007-09-19,,0,0,2008-10-30,798,6
372,2008-06-10,,,0,0,,0,0
372,2009-06-18,,,0,0,,0,0
372,2010-06-01,2010-08-16,,0,0,2011-10-14,1085,5
372,2011-08-08,2011-10-14,2011-10-14,1085,5,2012-11-15,1010,6
372,2012-08-01,2012-10-18,2012-07-20,1075,6,2013-11-14,1115,4
372,2013-08-01,2013-11-14,2013-07-17,1120,5,2014-11-17,1015,4
10084,2006-06-16,,2007-03-15,594,0,,0,0
10084,2007-06-18,2007-09-19,,0,0,,0,0
373,2006-06-16,,2007-03-15,566,0,,0,0
373,2007-06-18,2007-09-19,,0,0,2008-10-16,908,5
373,2008-06-10,,,0,0,,0,0
373,2009-06-18,,,0,0,2009-10-16,1030,6
373,2010-06-01,2010-08-16,,0,0,2011-10-14,1155,5
373,2011-08-08,2011-10-14,2011-10-14,1155,5,2012-11-15,1100,5
373,2012-08-01,2012-10-18,2012-07-20,1230,5,2013-11-14,1220,4
373,2013-08-01,2013-11-14,2013-07-17,1180,4,2014-11-17,1215,5
10086,2006-06-16,,2007-03-15,576,0,,0,0
10086,2007-06-18,2007-09-19,,0,0,2008-10-16,886,5
10086,2008-06-10,,,0,0,,0,0
10086,2009-06-18,,,0,0,2009-10-29,1020,7
10086,2010-06-01,2010-08-16,,0,0,2011-10-14,1175,7
10086,2011-08-08,2011-10-14,2011-10-14,1175,7,2012-11-15,1085,5
10086,2012-08-01,2012-10-18,2012-07-20,1140,6,2013-11-14,1225,6
10086,2013-08-01,2013-11-14,2013-07-17,1170,5,2014-11-17,1210,5
375,2006-06-16,,2007-03-15,502,0,,0,0
375,2007-06-18,2007-09-19,,0,0,2008-10-30,864,7
375,2008-06-10,,,0,0,,0,0
375,2009-06-18,,,0,0,2009-10-29,972,6
375,2010-06-01,2010-08-16,,0,0,2011-10-14,1120,5
375,2011-08-08,2011-10-14,2011-10-14,1120,5,2012-11-15,1040,6
375,2012-08-01,2012-10-18,2012-07-20,1190,5,2013-11-14,1120,4
375,2013-08-01,2013-11-14,2013-07-17,1160,5,2014-11-19,1090,5
10088,2006-06-16,,2007-03-15,482,0,,0,0
10088,2007-06-18,2007-09-19,,0,0,2008-10-30,808,6
10088,2008-06-10,,,0,0,,0,0
10088,2009-06-18,,,0,0,2009-10-29,848,5
10088,2010-06-01,2010-08-16,,0,0,2011-10-14,1005,5
10088,2011-08-08,2011-10-14,2011-10-14,1005,5,2012-11-15,886,4
10088,2012-08-01,2012-10-18,2012-07-20,982,5,2013-11-14,984,3
10088,2013-08-01,2013-11-14,2013-07-19,1010,3,2014-11-19,952,5
10089,2006-06-16,,2007-03-15,474,0,,0,0
10089,2007-06-18,2007-09-19,,0,0,,0,0
10090,2006-06-16,,2007-03-15,546,0,,0,0
10090,2007-06-18,2007-09-19,,0,0,,0,0
10091,2006-06-16,,2007-03-15,420,0,,0,0
10091,2007-06-18,2007-09-19,,0,0,,0,0
10092,2006-06-16,,2007-03-15,600,0,,0,0
10092,2007-06-18,2007-09-19,,0,0,,0,0
10093,2006-06-16,,2007-03-15,534,0,,0,0
10093,2007-06-18,2007-09-19,,0,0,2008-10-30,880,6
10093,2008-06-10,,,0,0,,0,0
10093,2009-06-18,,,0,0,2009-10-16,962,5
10093,2010-06-01,2010-08-16,,0,0,2011-10-14,1085,5
10093,2011-08-08,2011-10-14,2011-10-14,1085,5,2012-11-15,972,0
10093,2012-08-01,2012-10-18,2012-07-20,1165,6,2013-11-14,1140,4
10093,2013-08-01,2013-11-14,2013-07-17,1170,5,2014-11-19,1045,5
377,2006-06-16,,2007-03-15,418,0,,0,0
377,2007-06-18,2007-09-19,,0,0,2008-10-30,668,6
377,2008-06-10,,,0,0,,0,0
10095,2006-06-16,,2007-03-15,572,0,,0,0
10095,2007-06-18,2007-09-19,,0,0,2008-10-30,1160,7
10095,2008-06-10,,,0,0,,0,0
10095,2009-06-18,,,0,0,2009-10-29,1120,6
10095,2010-06-01,2010-08-16,,0,0,2011-10-14,1250,5
10095,2011-08-08,2011-10-14,2011-10-14,1250,5,2012-11-15,1175,6
10095,2012-08-01,2012-10-18,2012-07-20,1360,6,2013-11-14,1340,6
10095,2013-08-01,2013-11-14,2013-07-17,1300,6,2014-11-17,1315,6
10096,2006-06-16,,2007-03-15,546,0,,0,0
10096,2007-06-18,2007-09-19,,0,0,2008-10-30,898,6
10096,2008-06-10,,,0,0,,0,0
10096,2009-06-18,,,0,0,2009-10-16,958,5
10096,2010-06-01,2010-08-16,,0,0,2011-10-14,1060,4
10096,2011-08-08,2011-10-14,2011-10-14,1060,4,2012-11-15,1025,5
10096,2012-08-01,2012-10-18,2012-07-20,1165,6,2013-11-14,1090,4
