HerdID,Chaps_ID,CalfID,birth_date,breed,registration,regname,elecid,sire_chapsID,SireID,Cow_chapsID,CowID,CowAge,sex,birthwt,calvingease,state,sex_date
H38,70,0549,1990-04-08,CH,,,,20210,CH13,-2,Unknown,7,2,82,,,
H38,71,0550,1990-04-12,CH,,,,20204,C718,-2,Unknown,8,2,85,,,
H38,72,0551,1990-04-21,CH,,,,20197,C119,-2,Unknown,4,2,95,,,
H38,73,0552,1990-05-01,CH,,,,20197,C119,-2,Unknown,7,2,69,,,
H38,74,3001,1993-01-25,LM,,,,20429,UNKNLM,-2,Unknown,2,2,77,,,
H38,75,3003,1993-01-28,LM,,,,20429,UNKNLM,-2,Unknown,2,2,82,,,
H38,76,3008,1993-01-30,LM,,,,20429,UNKNLM,-2,Unknown,2,2,87,,,
H38,77,3011,1993-02-02,CH,,,,20426,UNKNCH,-2,Unknown,2,2,65,,,
H38,78,3015,1993-02-03,CH,,,,20426,UNKNCH,-2,Unknown,2,2,65,,,
H38,79,3016,1993-02-03,LM,,,,20429,UNKNLM,-2,Unknown,2,2,85,,,
H38,80,3024,1993-02-06,LM,,,,20429,UNKNLM,-2,Unknown,2,2,70,,,
H38,81,3035,1993-02-11,AN,,,,20175,AN74,-2,Unknown,2,2,70,,,
H38,82,3036,1993-02-11,LM,,,,20429,UNKNLM,-2,Unknown,2,2,92,,,
H38,83,3041,1993-02-13,AN,,,,20175,AN74,-2,Unknown,2,2,80,,,
H38,84,3044,1993-02-13,AN,,,,20175,AN74,-2,Unknown,2,2,70,,,
H38,85,3052,1993-02-15,AN,,,,20175,AN74,-2,Unknown,2,2,72,,,
H38,86,3059,1993-02-16,AN,,,,20175,AN74,-2,Unknown,2,2,82,,,
H38,87,3081,1993-03-01,AN,,,,20172,AN20,-2,Unknown,2,2,68,,,
H38,88,3087,1993-03-06,AN,,,,20168,A114,-2,Unknown,9,2,84,,,
H38,89,3088,1993-03-07,AN,,,,20172,AN20,-2,Unknown,2,2,74,,,
H38,90,3089,1993-03-07,AN,,,,20168,A114,-2,Unknown,9,2,98,,,
H38,91,3092,1993-03-10,CH,,,,20157,919,-2,Unknown,12,2,74,,,
H38,92,3093,1993-03-10,CH,,,,20157,919,-2,Unknown,7,2,72,,,
H38,93,3094,1993-03-11,CH,,,,20131,710,-2,Unknown,10,2,66,,,
H38,94,3096,1993-03-11,CH,,,,20426,UNKNCH,-2,Unknown,15,2,82,,,
H38,95,3098,1993-03-11,CH,,,,20170,A136,-2,Unknown,11,2,78,,,
H38,96,3107,1993-03-12,AN,,,,20168,A114,-2,Unknown,9,2,96,,,
H38,97,3109,1993-03-12,CH,,,,20150,8018,-2,Unknown,9,2,76,,,
H38,98,3114,1993-03-14,CH,,,,20162,937,-2,Unknown,7,2,96,,,
H38,99,3115,1993-03-14,CH,,,,20157,919,-2,Unknown,9,2,66,,,
H38,100,3118,1993-03-14,CH,,,,20150,8018,-2,Unknown,7,2,90,,,
H38,101,3120,1993-03-14,CH,,,,20000,0133,-2,Unknown,8,2,86,,,
H38,102,3123,1993-03-15,CH,,,,20152,8060,-2,Unknown,9,2,84,,,
H38,103,3128,1993-03-16,CH,,,,20131,710,-2,Unknown,7,2,94,,,
H38,104,3129,1993-03-16,CH,,,,20131,710,-2,Unknown,10,2,94,,,
H38,105,3130,1993-03-16,CH,,,,20169,A118,-2,Unknown,10,2,72,,,
