chaps_id,CalfID,entry_date,weight,hip_height,frame_score,status,notes,group,stage
362,BMS02,,0,0,0,FALSE,,,R
363,BMS04,,0,0,0,FALSE,,,R
367,R5035,,0,0,0,FALSE,,,R
368,R5125,,0,0,0,FALSE,,,R
369,R5132,,0,0,0,FALSE,,,R
370,S6048,2006-10-18,402,0,0,TRUE,,,R
371,S6063,2006-10-18,434,0,0,TRUE,,,R
372,S6072,,0,0,0,FALSE,,,R
373,S6093,,0,0,0,FALSE,,,R
374,S6095,2006-10-18,396,0,0,TRUE,,,R
375,S6096,,0,0,0,FALSE,,,R
376,S6113,2006-10-18,486,0,0,TRUE,,,R
377,S6121,,0,0,0,FALSE,,,R
378,S6172,2006-10-18,380,0,0,TRUE,,,R
379,T7007,,0,0,0,FALSE,,,R
380,T7009,2007-10-19,434,0,0,TRUE,,,R
381,T7011,,0,0,0,FALSE,,,R
382,T7014,,0,0,0,FALSE,,,R
383,T7064,,0,0,0,FALSE,,,R
384,T7087,,0,0,0,FALSE,,,R
385,T7107,,0,0,0,FALSE,,,R
386,T7109,,0,0,0,FALSE,,,R
387,T7116,,0,0,0,FALSE,,,R
388,T7124,,0,0,0,FALSE,,,R
389,T7131,2007-10-19,496,0,0,TRUE,,,R
390,T7163,,0,0,0,FALSE,,,R
391,T7166,,0,0,0,FALSE,,,R
392,T7209,,0,0,0,FALSE,,,R
393,T7290,,0,0,0,FALSE,,,R
394,T7291,,0,0,0,FALSE,,,R
395,U8001,,0,0,0,FALSE,,,R
396,U8004,,0,0,0,FALSE,,,R
397,U8007,,0,0,0,FALSE,,,R
398,U8008,,0,0,0,FALSE,,,R
399,U8010,,0,0,0,FALSE,,,R
400,U8020,,0,0,0,FALSE,,,R
401,U8032,,0,0,0,FALSE,,,R
402,U8044,,0,0,0,FALSE,,,R
403,U8045,,0,0,0,FALSE,,,R
404,U8055,2008-10-16,528,44,4.9,TRUE,,,R
405,U8056,2008-10-16,466,43,4.4,TRUE,,,R
406,U8057,,0,0,0,FALSE,,,R
407,U8058,,0,0,0,FALSE,,,R
408,U8080,,0,0,0,FALSE,,,R
409,U8091,,0,0,0,FALSE,,,R
410,U8093,,0,0,0,FALSE,,,R
411,U8094,2008-10-17,574,43,4.4,TRUE,,,R
412,U8104,,0,0,0,FALSE,,,R
413,U8117,2008-10-28,498,43,4.5,TRUE,,,R
414,U8133,,0,0,0,FALSE,,,R
415,U8150,,0,0,0,FALSE,,,R
416,U8154,2008-10-17,438,41,3.6,TRUE,,,R
417,U8163,,0,0,0,FALSE,,,R
418,U8180,2008-10-28,482,43,4.6,TRUE,,,R
419,U8189,,0,0,0,FALSE,,,R
420,U8190,,0,0,0,FALSE,,,R
421,U8191,,0,0,0,FALSE,,,R
422,U8200,,0,0,0,FALSE,,,R
423,U8205,,0,0,0,FALSE,,,R
424,U8242,,0,0,0,FALSE,,,R
425,U8255,,0,0,0,FALSE,,,R
426,U8256,,0,0,0,FALSE,,,R
427,U8262,2008-10-28,478,41,3.8,TRUE,,,R
428,U8263,,0,0,0,FALSE,,,R
429,U8268,,0,0,0,FALSE,,,R
430,U8270,2008-10-28,338,34,0.4,TRUE,,,R
431,U8271,2008-10-17,436,41,3.9,TRUE,,,R
432,U8276,2008-10-28,428,41,3.9,TRUE,,,R
433,U8277,2008-10-28,454,41,3.9,TRUE,,,R
434,U8278,,0,0,0,FALSE,,,R
435,U8300,,0,0,0,FALSE,,,R
436,U8303,2008-10-28,290,33,0.2,TRUE,,,R
437,U8305,,0,0,0,FALSE,,,R
438,U8310,2008-10-28,318,36,1.7,TRUE,,,R
439,U8313,,0,0,0,FALSE,,,R
440,U8314,2008-10-28,342,38,2.9,TRUE,,,R
441,U8316,,0,0,0,FALSE,,,R
442,U8317,2008-10-28,328,36,2,TRUE,,,R
443,UMS3,,0,0,0,FALSE,,,R
444,UMS4,,0,0,0,FALSE,,,R
445,W9048,,0,0,0,FALSE,,,R
446,W9051,,0,0,0,FALSE,,,R
447,W9052,,0,0,0,FALSE,,,R
448,W9053,,0,0,0,FALSE,,,R
449,W9057,,0,0,0,FALSE,,,R
450,W9058,,0,0,0,FALSE,,,R
451,W9059,,0,0,0,FALSE,,,R
452,W9060,,0,0,0,FALSE,,,R
453,W9069,,0,0,0,FALSE,,,R
454,W9072,,0,0,0,FALSE,,,R
455,W9073,,0,0,0,FALSE,,,R
456,W9076,,0,0,0,FALSE,,,R
