HerdID,Chaps_ID,CowID,birth_date,breed,regnum,regname,elecid,Sire_ChapsID,Sire,Cow_ChapsID,dam,CowAge,sex,birthwt,calvingease,state,sex_date
H38,10003,19381981,1993-03-09,HH,19381981,LS SANDI 372,,20031,19189990,,19236483,,2,,,,
H38,10004,19382093,1993-04-03,HH,19382093,SR PREVA 343,,20033,19249880,,18769107,,2,,,,
H38,10005,19532315,1995-05-03,HH,19532315,SR VENCI 5111,,20038,19358298,,19161667,,2,,,,
H38,10006,19532358,1995-03-19,HH,19532358,SR BRIDGET 511,,20036,19292672,,19306529,,2,,,,
H38,10007,19555135,1995-08-25,HH,19555135,BB MS PATRIOT 5332,,20030,19151357,,19319084,,2,,,,
H38,10008,19564652,1996-02-04,HH,19564652,ORE 4040 MISS 6041,,20043,19432948,,19432956,,2,,,,
H38,10009,19570055,,HH,19570055,,,20040,19396807,,19285956,,2,,,,
H38,10010,19583593,1996-04-01,HH,19583593,SR MANDY 622,,20044,19436461,,18959010,,2,,,,
H38,10011,19583594,1996-04-02,HH,19583594,SR BONITA 626,,20027,18869978,,18958920,,2,,,,
H38,10012,19583647,1996-03-25,HH,19583647,SR MANDY 616,,20044,19436461,,19236584,,2,,,,
H38,10013,271159,,AR,274459,,,20425,UNKNAR,,,,2,,,,
H38,10014,359436,,AR,359436,,,20091,312276,10000,148465,,2,,,,
H38,10015,40005441,1996-09-01,HH,40005441,BB MS MARK DON 6329,,20046,19458354,,19378860,,2,,,,
H38,10016,40042479,1997-03-21,HH,40042479,SR YAMPETTE 710,,20023,17949501,,18846366,,2,,,,
H38,10017,40042525,1997-04-03,HH,40042525,SR YAMPETTE 736,,20023,17949501,,19236634,,2,,,,
H38,10018,40045544,1997-04-19,HH,40045544,BB MS 4033 LAD 7223,,20045,19436462,,19306127,,2,,,,
H38,10019,40045567,1997-04-28,HH,40045567,BB MS RED STAN,,20035,19283697,,19142515,,2,,,,
H38,10020,405675,,AR,405675,,,20025,185629,10001,151595,,2,,,,
H38,10021,41007692,1998-04-09,HH,41007692,SR LADY DOM 8155,,20049,19498500,,19458797,,2,,,,
H38,10022,41034505,1998-03-13,HH,41034505,BB MS WASH 8045,,20034,19278446,,19435984,,2,,,,
H38,10023,41034704,1998-04-10,HH,41034704,BB MS 4017 LAD 8160,,20042,19427728,,19523897,,2,,,,
H38,10024,41053020,1998-04-25,HH,41053020,SR GOLDIE 851,,20099,40036740,,19050987,,2,,,,
H38,10025,41053182,1998-04-13,HH,41053182,DS GOLDIE 843,,20099,40036740,,19381968,,2,,,,
H38,10026,41053189,1998-03-26,HH,41053189,SR WESTY 813,,20098,40036739,,19532301,,2,,,,
H38,10027,41131050,1999-03-13,HH,41131050,SR MARVEL 978,,20041,19408550,10016,40042479,,2,,,,
H38,10028,42078300,2000-03-12,HH,42078300,SR LORI 016,,20105,41003694,,40042587,,2,,,,
H38,10029,42167185,1999-01-09,HH,42167185,LCI STANDARD LADY 101J,,20199,C2650999,,C2621497,,2,,,,
H38,10030,9J9GAR,,AN,10895323,9J9 G A R 856,,20345,RITO9J9,,,,2,,,,
H38,10031,BFCR127,1978-04-04,AR,100626,,,20327,PBC373D0,,,,2,,,,
H38,10032,BFLOCAR,,AR,87349,,,20326,PBC373,,,,2,,,,
H38,10033,BFLOCRK,1981-04-16,AR,130370,,,20187,BFLOCRVC,10032,BFLOCAR,,2,,,,
H38,10034,BFT7112,,AN,11246381,B F TRAVELER 7112 9118,,20332,QAS234,,,,2,,,,
H38,10035,BR972,,AN,11264984,B/R ELINE 972,,20190,BR545,,,,2,,,,
H38,10036,BS1051,,AN,09890479,BASIN ENCHANTRESS 1051,,20235,HIGHTIME,,,,2,,,,
H38,10037,BUFCKLA,1982-05-06,AR,140489,,,20338,RCNDY606,10031,BFCR127,,2,,,,
H38,10038,EYEMP4,1962-05-06,AR,9319,,,20341,REDCOPPR,,,,2,,,,
H38,10039,GLACRBA,,,,,,20268,LEACHMNA,,,,2,,,,
H38,10040,GLCRBLA,,,,,,20189,BLKVBB,,,,2,,,,
H38,10041,HOMAMB,1961-11-04,AR,4396,,,20185,BBASCOMR,,,,2,,,,
H38,10042,KRNREB,1993-02-15,AR,404379,,,20267,LEACHEVN,,,,2,,,,
H38,10043,KRNRERO,1995-02-12,AR,475841,,,20275,LRH1174B,,,,2,,,,
H38,10044,LCDU163,1976-04-18,AR,77420,,,20410,THUNDERB,,,,2,,,,
H38,10045,LCHDU,1985-04-20,AR,183245,,,20265,LCHMR012,10044,LCDU163,,2,,,,
H38,10046,LCHELEN,1988-01-10,AR,303922,,,20251,JTL90KK,,PRFELEN,,2,,,,
H38,10047,LCHPRL,,,,,,20249,JHLAR,,,,2,,,,
H38,10048,LGL774,,AN,10973044,LANDMARCK GAY LADY 774,,20252,KADENCE,,,,2,,,,
H38,10049,MD9114,,AN,11291067,M D G ELONEMAR 9144,,20330,PD6106,,,,2,,,,
H38,10050,MDGLNRC,1972-03-07,AR,49527,,,20346,RLGALENA,,,,2,,,,
H38,10051,MDMADCP,1971-02-23,AR,41713,,,20293,MADCP605,10052,MDSTRM,,2,,,,
H38,10052,MDSTRM,1968-03-26,AR,23376,,,20399,STORMALG,,,,2,,,,
H38,10053,MRM1431,1991-04-01,AR,356162,,,20193,BUFCRK14,10054,MRM8454,,2,,,,
H38,10054,MRM8454,,AR,268297,,,20296,MRMPRIME,,,,2,,,,
H38,10055,N3087,2003-03-01,LOHHAN,,,982000007623383,20430,UNKNLO,,L1064,,2,,,,
H38,10056,N3099,2003-03-06,LOARHHAR,,,949000000192107,20430,UNKNLO,,L1186,,2,,,,
