chaps_id,CalfID,date_weighed,managecode,group,grade,lot_no
197,A3003,2013-11-13,0,,0,
198,A3004,2013-11-13,0,,0,
199,A3005,2013-11-14,0,,0,
200,A3006,2013-11-14,0,,0,
201,A3010,2013-11-13,0,,0,
202,A3011,2013-11-14,0,,0,
203,A3012,2013-11-14,0,,0,
204,A3018,2013-11-14,0,,0,
205,A3019,2013-11-13,0,,0,
206,A3020,2013-11-13,0,,0,
207,A3021,2013-11-14,0,,0,
208,A3022,2013-11-14,0,,0,
209,A3023,2013-11-14,0,,0,
210,A3031,2013-11-14,0,,0,
211,A3032,2013-11-13,0,,0,
212,A3033,2013-11-13,K,,0,
213,A3034,2013-11-14,0,,0,
214,A3045,2013-11-14,0,,0,
215,A3046,2013-11-14,0,,0,
216,A3055,2013-11-14,0,,0,
217,A3056,2013-11-13,0,,0,
218,A3065,2013-11-14,0,,0,
219,A3066,2013-11-14,0,,0,
220,A3076,2013-11-14,0,,0,
221,A3077,2013-11-14,0,,0,
222,A3078,2013-11-14,0,,0,
223,A3080,2013-11-13,0,,0,
224,A3089,2013-11-14,0,,0,
225,A3094,2013-11-14,0,,0,
226,A3095,2013-11-14,0,,0,
227,A3096,2013-11-14,0,,0,
228,A3097,2013-11-14,0,,0,
229,A3102,2013-11-14,0,,0,
230,A3103,2013-11-14,0,,0,
231,A3104,2013-11-14,0,,0,
232,A3105,2013-11-14,0,,0,
233,A3106,2013-11-14,0,,0,
234,A3107,,D,,0,
235,A3108,2013-11-13,0,,0,
236,A3109,2013-11-13,0,,0,
237,A3111,2013-11-13,0,,0,
238,A3117,2013-11-14,0,,0,
239,A3118,2013-11-14,0,,0,
240,A3119,2013-11-14,0,,0,
241,A3123,2013-11-13,0,,0,
242,A3124,2013-11-13,0,,0,
243,A3128,2013-11-14,0,,0,
244,A3129,2013-11-14,0,,0,
245,A3130,2013-11-14,0,,0,
246,A3131,2013-11-14,0,,0,
247,A3132,2013-11-14,0,,0,
248,A3133,2013-11-14,0,,0,
249,A3139,2013-11-14,0,,0,
250,A3148,2013-11-14,0,,0,
251,A3153,2013-11-14,0,,0,
252,A3154,2013-11-14,0,,0,
253,A3155,2013-11-14,0,,0,
254,A3156,2013-11-14,0,,0,
255,A3162,2013-11-14,0,,0,
256,A3163,2013-11-14,0,,0,
257,A3164,2013-11-14,0,,0,
258,A3165,2013-11-14,0,,0,
259,A3166,2013-11-14,0,,0,
260,A3176,2013-11-14,0,,0,
261,A3177,2013-11-14,0,,0,
262,A3187,2013-11-14,0,,0,
263,A3193,2013-11-14,0,,0,
264,A3194,2013-11-14,0,,0,
265,A3195,2013-11-14,0,,0,
266,A3198,2013-11-13,0,,0,
267,A3199,2013-11-14,0,,0,
268,A3200,2013-11-14,0,,0,
269,A3201,2013-11-14,0,,0,
270,A3206,2013-11-14,0,,0,
271,A3210,2013-11-14,0,,0,
272,A3211,2013-11-14,0,,0,
273,A3212,2013-11-14,0,,0,
274,A3218,2013-11-14,0,,0,
275,A3219,2013-11-13,0,,0,
276,A3221,2013-11-13,0,,0,
277,A3222,2013-11-13,0,,0,
278,A3224,2013-11-13,0,,0,
279,AMS01,,C,,0,
280,AMS06,,C,,0,
281,B4001,2014-11-13,0,,0,
282,B4002,2014-11-13,0,,0,
283,B4003,2014-11-13,0,,0,
284,B4004,2014-11-13,0,,0,
285,B4006,2014-11-13,0,,0,
286,B4007,2014-11-13,0,,0,
287,B4009,2014-11-13,0,,0,
288,B4011,2014-11-13,0,,0,
289,B4012,2014-11-13,0,,0,
290,B4013,2014-11-13,0,,0,
291,B4014,2014-11-13,0,,0,
