chaps_id,CalfID,date_weighed,weight,hip_height,frame_score,status
120,3155,1993-10-07,517,0,0,FALSE
121,3157,1993-10-19,579,0,0,FALSE
122,3161,1993-10-06,530,0,0,FALSE
123,3167,1993-10-07,581,0,0,FALSE
124,3170,1993-10-07,372,0,0,FALSE
125,3175,1993-10-06,515,0,0,FALSE
126,3176,1993-10-06,545,0,0,FALSE
127,3179,1993-10-08,502,0,0,FALSE
128,3181,1993-10-15,602,0,0,FALSE
129,3182,1993-10-07,584,0,0,FALSE
130,3183,1993-10-07,428,0,0,FALSE
131,3184,1993-10-15,536,0,0,FALSE
132,3186,1993-10-07,520,0,0,FALSE
133,3187,1993-10-15,522,0,0,FALSE
134,3188,1993-10-08,547,0,0,FALSE
135,3190,1993-10-18,566,0,0,FALSE
136,3191,1993-10-07,395,0,0,FALSE
137,3192,1993-10-07,590,0,0,FALSE
138,3194,1993-10-19,492,0,0,FALSE
139,3198,1993-10-18,524,0,0,FALSE
140,3202,1993-10-15,481,0,0,FALSE
141,3207,1993-10-15,508,0,0,FALSE
142,3213,1993-10-15,531,0,0,FALSE
143,3214,1993-10-15,668,0,0,FALSE
144,3217,1993-10-07,574,0,0,FALSE
145,3219,1993-10-07,556,0,0,FALSE
146,3220,1993-10-19,547,0,0,FALSE
147,3221,1993-10-19,540,0,0,FALSE
148,3227,1993-10-08,456,0,0,FALSE
149,3230,1993-10-19,515,0,0,FALSE
150,3231,1993-10-08,518,0,0,FALSE
151,3233,1993-10-15,560,0,0,FALSE
152,3234,1993-10-07,659,0,0,FALSE
153,3239,1993-10-18,538,0,0,FALSE
154,3241,1993-10-15,570,0,0,FALSE
155,3243,1993-10-19,578,0,0,FALSE
156,3247,1993-10-08,429,0,0,FALSE
157,3251,1993-10-19,557,0,0,FALSE
158,3253,1993-10-07,670,0,0,FALSE
159,3255,1993-10-18,456,0,0,FALSE
160,3262,1993-10-07,492,0,0,FALSE
161,3266,1993-10-07,482,0,0,FALSE
162,3269,1993-10-06,555,0,0,FALSE
163,3270,1993-10-07,551,0,0,FALSE
164,3272,1993-10-15,472,0,0,FALSE
165,3273,1993-10-15,474,0,0,FALSE
166,3274,1993-10-18,505,0,0,FALSE
167,3277,1993-10-06,520,0,0,FALSE
168,3280,1993-10-15,530,0,0,FALSE
169,3281,1993-10-08,470,0,0,FALSE
170,3284,1993-10-06,490,0,0,FALSE
171,3285,1993-10-15,591,0,0,FALSE
172,3286,1993-10-15,470,0,0,FALSE
173,3287,1993-10-15,583,0,0,FALSE
174,3291,1993-10-19,495,0,0,FALSE
175,3295,1993-10-07,472,0,0,FALSE
176,3296,1993-10-19,545,0,0,FALSE
177,3299,1993-10-07,433,0,0,FALSE
178,3304,1993-10-15,500,0,0,FALSE
179,3305,1993-10-06,480,0,0,FALSE
180,3308,1993-10-06,525,0,0,FALSE
181,3310,1993-10-15,549,0,0,FALSE
182,3311,1993-10-06,570,0,0,FALSE
183,3315,1993-10-08,483,0,0,FALSE
184,3318,1993-10-07,588,0,0,FALSE
185,3319,1993-10-19,480,0,0,FALSE
186,3320,1993-10-07,486,0,0,FALSE
187,3322,1993-10-07,500,0,0,FALSE
188,3324,1993-10-15,508,0,0,FALSE
189,3325,1993-10-07,630,0,0,FALSE
190,3326,1993-10-07,517,0,0,FALSE
191,3330,1993-10-18,445,0,0,FALSE
192,3331,1993-10-15,535,0,0,FALSE
193,3337,1993-10-18,450,0,0,FALSE
194,3338,1993-10-18,450,0,0,FALSE
195,A3001,2013-11-13,428,38,2.3,TRUE
196,A3002,2013-11-13,328,36,1.7,TRUE
197,A3003,2013-11-13,390,38,2.3,TRUE
198,A3004,2013-11-13,300,35.5,1.5,TRUE
199,A3005,2013-11-14,448,40,3.3,TRUE
200,A3006,2013-11-14,516,40,3.7,TRUE
201,A3010,2013-11-13,406,37.5,2.2,TRUE
202,A3011,2013-11-14,434,39.5,3.5,TRUE
203,A3012,2013-11-14,498,42,4.7,TRUE
204,A3018,2013-11-14,554,40,3.4,TRUE
205,A3019,2013-11-13,306,34.5,0.7,TRUE
206,A3020,2013-11-13,358,37,2.3,TRUE
207,A3021,2013-11-14,484,39,3,TRUE
208,A3022,2013-11-14,478,39,3.3,TRUE
209,A3023,2013-11-14,540,42.5,4.7,TRUE
210,A3031,2013-11-14,528,40.5,3.7,TRUE
211,A3032,2013-11-13,370,39,3,TRUE
212,A3033,2013-11-13,432,37.5,2.3,TRUE
213,A3034,2013-11-14,410,39.5,3.5,TRUE
214,A3045,2013-11-14,572,41.5,4.3,TRUE
215,A3046,2013-11-14,536,42.5,4.7,TRUE
216,A3055,2013-11-14,544,41.5,4.3,TRUE
217,A3056,2013-11-13,304,34,0.6,TRUE
218,A3065,2013-11-14,518,42,4.6,TRUE
219,A3066,2013-11-14,498,39.5,3.6,TRUE
220,A3076,2013-11-14,598,42.5,4.8,TRUE
221,A3077,2013-11-14,496,41,4.4,TRUE
222,A3078,2013-11-14,388,37.5,2.4,TRUE
223,A3080,2013-11-13,346,36.5,1.9,TRUE
224,A3089,2013-11-14,498,41.5,4.4,TRUE
225,A3094,2013-11-14,434,39,3.4,TRUE
226,A3095,2013-11-14,532,41,4.4,TRUE
227,A3096,2013-11-14,532,41,4.4,TRUE
228,A3097,2013-11-14,490,41,4.1,TRUE
229,A3102,2013-11-14,522,41,4.1,TRUE
230,A3103,2013-11-14,460,39.5,3.7,TRUE
231,A3104,2013-11-14,486,42.5,4.9,TRUE
232,A3105,2013-11-14,462,41,4.4,TRUE
233,A3106,2013-11-14,472,39.5,3.4,TRUE
234,A3107,,0,0,0,TRUE
235,A3108,2013-11-13,330,36,1.7,TRUE
236,A3109,2013-11-13,330,34.5,1,TRUE
237,A3111,2013-11-13,320,34.5,1.3,TRUE
238,A3117,2013-11-14,498,40.5,3.9,TRUE
239,A3118,2013-11-14,406,39,3.4,TRUE
240,A3119,2013-11-14,512,42.5,4.9,TRUE
241,A3123,2013-11-13,356,34,1,TRUE
242,A3124,2013-11-13,408,37.5,2.5,TRUE
243,A3128,2013-11-14,474,41,4.4,TRUE
244,A3129,2013-11-14,482,40.5,3.9,TRUE
245,A3130,2013-11-14,536,41.5,4.4,TRUE
246,A3131,2013-11-14,538,41.5,4.4,TRUE
247,A3132,2013-11-14,472,41,4.4,TRUE
248,A3133,2013-11-14,522,42.5,5.2,TRUE
249,A3139,2013-11-14,404,39.5,3.7,TRUE
250,A3148,2013-11-14,494,42,5,TRUE
251,A3153,2013-11-14,428,41.5,4.7,TRUE
252,A3154,2013-11-14,440,39,3.5,TRUE
253,A3155,2013-11-14,472,40,3.8,TRUE
254,A3156,2013-11-14,438,40.5,4.2,TRUE
255,A3162,2013-11-14,540,42,4.8,TRUE
256,A3163,2013-11-14,474,42.5,5,TRUE
257,A3164,2013-11-14,476,39.5,3.5,TRUE
258,A3165,2013-11-14,380,37.5,2.8,TRUE
259,A3166,2013-11-14,432,40.5,4.3,TRUE
