chaps_id,CalfID,entry_date,weight,hip_height,frame_score,back_fat,rib_eye,marbling,scrotum_circum,scrotum_date,pelvic_area,pelvic_date,status,notes,365_day_weight,stage
58,537,1990-10-22,565,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
59,538,1990-10-22,600,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
60,539,1990-10-17,486,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
61,540,1990-10-22,550,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
62,541,1990-10-19,542,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
63,542,1990-10-17,560,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
64,543,1990-10-22,602,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
65,544,1990-10-18,505,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
66,545,1990-10-17,490,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
67,546,1990-10-19,510,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
68,547,1990-10-22,568,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
69,548,1990-10-22,555,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
70,549,1990-10-22,494,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
71,550,1990-10-22,542,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
72,551,1990-10-19,509,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
73,552,1990-10-19,485,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
74,3001,1993-10-15,650,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
75,3003,1993-10-15,674,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
76,3008,1993-10-08,665,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
77,3011,1993-10-15,610,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
78,3015,1993-10-19,495,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
79,3016,1993-10-15,609,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
80,3024,1993-10-18,600,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
81,3035,1993-10-19,600,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
82,3036,1993-10-15,609,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
83,3041,1993-10-07,615,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
84,3044,1993-10-07,582,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
85,3052,1993-10-07,566,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
86,3059,1993-10-07,616,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
87,3081,1993-10-07,518,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
88,3087,1993-10-07,500,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
89,3088,1993-10-07,547,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
90,3089,1993-10-07,697,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
91,3092,1993-10-08,535,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
92,3093,1993-10-15,575,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
93,3094,1993-10-15,577,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
94,3096,1993-10-07,556,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
95,3098,1993-10-18,550,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
96,3107,1993-10-07,615,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
97,3109,1993-10-15,575,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
98,3114,1993-10-06,630,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
99,3115,1993-10-08,465,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
100,3118,1993-10-08,610,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
101,3120,1993-10-07,662,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
102,3123,1993-10-07,635,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
103,3128,1993-10-15,619,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
104,3129,1993-10-06,670,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
