chaps_id,entry_date,weight,hip_height,frame_score,status,notes,group,stage
356,,0,0,0,FALSE,,,I
357,,0,0,0,FALSE,,,I
358,,0,0,0,FALSE,,,I
359,,0,0,0,FALSE,,,I
360,,0,0,0,FALSE,,,I
361,,0,0,0,FALSE,,,I
362,,0,0,0,FALSE,,,I
363,,0,0,0,FALSE,,,I
367,,0,0,0,FALSE,,,I
368,,0,0,0,FALSE,,,I
369,,0,0,0,FALSE,,,I
370,,0,0,0,TRUE,,,I
371,,0,0,0,TRUE,,,I
372,,0,0,0,FALSE,,,I
373,,0,0,0,FALSE,,,I
374,,0,0,0,TRUE,,,I
375,,0,0,0,FALSE,,,I
376,,0,0,0,TRUE,,,I
377,,0,0,0,FALSE,,,I
378,,0,0,0,TRUE,,,I
379,,0,0,0,FALSE,,,I
380,2008-08-25,884,0,7,TRUE,,,I
381,,0,0,0,FALSE,,,I
382,,0,0,0,FALSE,,,I
383,,0,0,0,FALSE,,,I
384,,0,0,0,FALSE,,,I
385,,0,0,0,FALSE,,,I
386,,0,0,0,FALSE,,,I
387,,0,0,0,FALSE,,,I
388,,0,0,0,FALSE,,,I
389,,0,0,0,TRUE,,,I
390,,0,0,0,FALSE,,,I
391,,0,0,0,FALSE,,,I
392,,0,0,0,FALSE,,,I
393,,0,0,0,FALSE,,,I
394,,0,0,0,FALSE,,,I
395,,0,0,0,FALSE,,,I
396,,0,0,0,FALSE,,,I
397,,0,0,0,FALSE,,,I
398,,0,0,0,FALSE,,,I
399,,0,0,0,FALSE,,,I
400,,0,0,0,FALSE,,,I
401,,0,0,0,FALSE,,,I
402,,0,0,0,FALSE,,,I
403,,0,0,0,FALSE,,,I
404,,0,0,0,TRUE,,,I
405,,0,0,0,TRUE,,,I
406,,0,0,0,FALSE,,,I
407,,0,0,0,FALSE,,,I
408,,0,0,0,FALSE,,,I
409,,0,0,0,FALSE,,,I
410,,0,0,0,FALSE,,,I
411,,0,0,0,TRUE,,,I
412,,0,0,0,FALSE,,,I
413,,0,0,0,TRUE,,,I
414,,0,0,0,FALSE,,,I
415,,0,0,0,FALSE,,,I
416,,0,0,0,TRUE,,,I
417,,0,0,0,FALSE,,,I
418,,0,0,0,TRUE,,,I
419,,0,0,0,FALSE,,,I
420,,0,0,0,FALSE,,,I
421,,0,0,0,FALSE,,,I
422,,0,0,0,FALSE,,,I
423,,0,0,0,FALSE,,,I
424,,0,0,0,FALSE,,,I
425,,0,0,0,FALSE,,,I
426,,0,0,0,FALSE,,,I
427,,0,0,0,TRUE,,,I
428,,0,0,0,FALSE,,,I
429,,0,0,0,FALSE,,,I
430,,0,0,0,TRUE,,,I
431,,0,0,0,TRUE,,,I
432,,0,0,0,TRUE,,,I
433,,0,0,0,TRUE,,,I
434,,0,0,0,FALSE,,,I
435,,0,0,0,FALSE,,,I
436,,0,0,0,TRUE,,,I
437,,0,0,0,FALSE,,,I
438,,0,0,0,TRUE,,,I
439,,0,0,0,FALSE,,,I
440,,0,0,0,TRUE,,,I
441,,0,0,0,FALSE,,,I
442,,0,0,0,TRUE,,,I
443,,0,0,0,FALSE,,,I
444,,0,0,0,FALSE,,,I
445,,0,0,0,FALSE,,,I
446,,0,0,0,FALSE,,,I
447,,0,0,0,FALSE,,,I
448,,0,0,0,FALSE,,,I
449,,0,0,0,FALSE,,,I
450,,0,0,0,FALSE,,,I
451,,0,0,0,FALSE,,,I
452,,0,0,0,FALSE,,,I
453,,0,0,0,FALSE,,,I
454,,0,0,0,FALSE,,,I
455,,0,0,0,FALSE,,,I
456,,0,0,0,FALSE,,,I
457,,0,0,0,FALSE,,,I
458,,0,0,0,FALSE,,,I
459,,0,0,0,FALSE,,,I
460,,0,0,0,FALSE,,,I
461,,0,0,0,FALSE,,,I
462,,0,0,0,FALSE,,,I
463,,0,0,0,FALSE,,,I
464,,0,0,0,FALSE,,,I
465,,0,0,0,FALSE,,,I
466,,0,0,0,FALSE,,,I
467,,0,0,0,FALSE,,,I
468,,0,0,0,FALSE,,,I
469,,0,0,0,FALSE,,,I
470,,0,0,0,FALSE,,,I
471,,0,0,0,FALSE,,,I
472,,0,0,0,FALSE,,,I
473,,0,0,0,FALSE,,,I
474,,0,0,0,FALSE,,,I
475,,0,0,0,FALSE,,,I
476,,0,0,0,FALSE,,,I
477,,0,0,0,FALSE,,,I
478,,0,0,0,FALSE,,,I
479,,0,0,0,FALSE,,,I
480,,0,0,0,FALSE,,,I
481,,0,0,0,FALSE,,,I
482,,0,0,0,FALSE,,,I
483,,0,0,0,FALSE,,,I
484,,0,0,0,FALSE,,,I
485,,0,0,0,FALSE,,,I
486,,0,0,0,FALSE,,,I
487,,0,0,0,FALSE,,,I
488,2011-04-19,784,0,0,TRUE,,,I
489,2011-04-19,838,49.5,4.7,TRUE,,,I
490,,0,0,0,FALSE,,,I
491,,0,0,0,FALSE,,,I
492,,0,0,0,FALSE,,,I
493,2011-04-19,712,46,2.9,TRUE,,,I
494,2011-04-19,798,46.5,3.2,TRUE,,,I
495,2011-04-19,810,45,2.4,TRUE,BANDED 11/15/2011,,I
496,,0,0,0,FALSE,,,I
497,,0,0,0,FALSE,,,I
498,,0,0,0,FALSE,,,I
499,,0,0,0,FALSE,,,I
