chaps_id,entry_date,weight,hip_height,frame_score,status,notes,group,stage
355,,0,0,0,FALSE,,,F
356,,0,0,0,FALSE,,,F
357,,0,0,0,FALSE,,,F
358,,0,0,0,FALSE,,,F
359,,0,0,0,FALSE,,,F
360,,0,0,0,FALSE,,,F
361,,0,0,0,FALSE,,,F
362,,0,0,0,FALSE,,,F
363,,0,0,0,FALSE,,,F
367,,0,0,0,FALSE,,,F
368,,0,0,0,FALSE,,,F
369,,0,0,0,FALSE,,,F
370,2007-09-21,712,0,0,TRUE,,,F
371,2007-09-21,836,0,0,TRUE,,,F
372,,0,0,0,FALSE,,,F
373,,0,0,0,FALSE,,,F
374,2007-09-21,788,0,0,TRUE,,,F
375,,0,0,0,FALSE,,,F
376,2007-09-21,830,0,0,TRUE,,,F
377,,0,0,0,FALSE,,,F
378,2007-09-21,822,0,0,TRUE,,,F
379,,0,0,0,FALSE,,,F
380,2008-09-05,858,0,7,TRUE,,,F
381,,0,0,0,FALSE,,,F
382,,0,0,0,FALSE,,,F
383,,0,0,0,FALSE,,,F
384,,0,0,0,FALSE,,,F
385,,0,0,0,FALSE,,,F
386,,0,0,0,FALSE,,,F
387,,0,0,0,FALSE,,,F
388,,0,0,0,FALSE,,,F
389,2008-01-10,582,41,2.2,TRUE,,,F
390,,0,0,0,FALSE,,,F
391,,0,0,0,FALSE,,,F
392,,0,0,0,FALSE,,,F
393,,0,0,0,FALSE,,,F
394,,0,0,0,FALSE,,,F
395,,0,0,0,FALSE,,,F
396,,0,0,0,FALSE,,,F
397,,0,0,0,FALSE,,,F
398,,0,0,0,FALSE,,,F
399,,0,0,0,FALSE,,,F
400,,0,0,0,FALSE,,,F
401,,0,0,0,FALSE,,,F
402,,0,0,0,FALSE,,,F
403,,0,0,0,FALSE,,,F
404,2008-12-18,656,0,0,TRUE,,,F
405,2008-12-18,568,0,0,TRUE,,,F
406,,0,0,0,FALSE,,,F
407,,0,0,0,FALSE,,,F
408,,0,0,0,FALSE,,,F
409,,0,0,0,FALSE,,,F
410,,0,0,0,FALSE,,,F
411,2008-12-18,656,0,0,TRUE,,,F
412,,0,0,0,FALSE,,,F
413,2008-12-18,608,0,0,TRUE,,,F
414,,0,0,0,FALSE,,,F
415,,0,0,0,FALSE,,,F
416,2008-12-18,502,0,0,TRUE,,,F
417,,0,0,0,FALSE,,,F
418,2008-12-18,582,0,0,TRUE,,,F
419,,0,0,0,FALSE,,,F
420,,0,0,0,FALSE,,,F
421,,0,0,0,FALSE,,,F
422,,0,0,0,FALSE,,,F
423,,0,0,0,FALSE,,,F
424,,0,0,0,FALSE,,,F
425,,0,0,0,FALSE,,,F
426,,0,0,0,FALSE,,,F
427,2008-12-18,532,0,0,TRUE,,,F
428,,0,0,0,FALSE,,,F
429,,0,0,0,FALSE,,,F
430,2008-12-18,420,0,0,TRUE,,,F
431,2008-12-18,552,0,0,TRUE,,,F
432,2008-12-18,496,0,0,TRUE,,,F
433,2008-12-18,534,0,0,TRUE,,,F
434,,0,0,0,FALSE,,,F
435,,0,0,0,FALSE,,,F
436,2008-12-18,332,0,0,TRUE,,,F
437,,0,0,0,FALSE,,,F
438,2008-12-18,382,0,0,TRUE,,,F
439,,0,0,0,FALSE,,,F
440,2008-12-18,426,0,0,TRUE,,,F
441,,0,0,0,FALSE,,,F
442,2008-12-18,404,0,0,TRUE,,,F
443,,0,0,0,FALSE,,,F
444,,0,0,0,FALSE,,,F
445,,0,0,0,FALSE,,,F
446,,0,0,0,FALSE,,,F
447,,0,0,0,FALSE,,,F
448,,0,0,0,FALSE,,,F
449,,0,0,0,FALSE,,,F
450,,0,0,0,FALSE,,,F
451,,0,0,0,FALSE,,,F
452,,0,0,0,FALSE,,,F
453,,0,0,0,FALSE,,,F
454,,0,0,0,FALSE,,,F
455,,0,0,0,FALSE,,,F
456,,0,0,0,FALSE,,,F
457,,0,0,0,FALSE,,,F
458,,0,0,0,FALSE,,,F
459,,0,0,0,FALSE,,,F
460,,0,0,0,FALSE,,,F
461,,0,0,0,FALSE,,,F
462,,0,0,0,FALSE,,,F
463,,0,0,0,FALSE,,,F
464,,0,0,0,FALSE,,,F
465,,0,0,0,FALSE,,,F
466,,0,0,0,FALSE,,,F
467,,0,0,0,FALSE,,,F
468,,0,0,0,FALSE,,,F
469,,0,0,0,FALSE,,,F
470,,0,0,0,FALSE,,,F
471,,0,0,0,FALSE,,,F
472,,0,0,0,FALSE,,,F
473,,0,0,0,FALSE,,,F
474,,0,0,0,FALSE,,,F
475,,0,0,0,FALSE,,,F
476,,0,0,0,FALSE,,,F
477,,0,0,0,FALSE,,,F
478,,0,0,0,FALSE,,,F
479,,0,0,0,FALSE,,,F
480,,0,0,0,FALSE,,,F
481,,0,0,0,FALSE,,,F
482,,0,0,0,FALSE,,,F
483,,0,0,0,FALSE,,,F
484,,0,0,0,FALSE,,,F
485,,0,0,0,FALSE,,,F
486,,0,0,0,FALSE,,,F
487,,0,0,0,FALSE,,,F
488,2011-10-28,1025,0,0,TRUE,,,F
